U+00D7	×	MULTIPLICATION SIGN
U+57A3	垣	CJK UNIFIED IDEOGRAPH-57A3
U+57CB	埋	CJK UNIFIED IDEOGRAPH-57CB
U+57CE	城	CJK UNIFIED IDEOGRAPH-57CE
U+57DF	域	CJK UNIFIED IDEOGRAPH-57DF
U+57F7	執	CJK UNIFIED IDEOGRAPH-57F7
U+57FA	基	CJK UNIFIED IDEOGRAPH-57FA
U+5802	堂	CJK UNIFIED IDEOGRAPH-5802
U+5805	堅	CJK UNIFIED IDEOGRAPH-5805
U+5815	堕	CJK UNIFIED IDEOGRAPH-5815
U+582A	堪	CJK UNIFIED IDEOGRAPH-582A
U+5831	報	CJK UNIFIED IDEOGRAPH-5831
U+5834	場	CJK UNIFIED IDEOGRAPH-5834
U+5840	塀	CJK UNIFIED IDEOGRAPH-5840
U+5854	塔	CJK UNIFIED IDEOGRAPH-5854
U+585E	塞	CJK UNIFIED IDEOGRAPH-585E
U+5869	塩	CJK UNIFIED IDEOGRAPH-5869
U+5875	塵	CJK UNIFIED IDEOGRAPH-5875
U+5883	境	CJK UNIFIED IDEOGRAPH-5883
U+5893	墓	CJK UNIFIED IDEOGRAPH-5893
U+5897	増	CJK UNIFIED IDEOGRAPH-5897
U+589F	墟	CJK UNIFIED IDEOGRAPH-589F
U+58C1	壁	CJK UNIFIED IDEOGRAPH-58C1
U+58C7	壇	CJK UNIFIED IDEOGRAPH-58C7
U+58CA	壊	CJK UNIFIED IDEOGRAPH-58CA
U+58EB	士	CJK UNIFIED IDEOGRAPH-58EB
U+58EE	壮	CJK UNIFIED IDEOGRAPH-58EE
U+58F0	声	CJK UNIFIED IDEOGRAPH-58F0
U+58F2	売	CJK UNIFIED IDEOGRAPH-58F2
U+5909	変	CJK UNIFIED IDEOGRAPH-5909
U+5915	夕	CJK UNIFIED IDEOGRAPH-5915
U+5916	外	CJK UNIFIED IDEOGRAPH-5916
U+591A	多	CJK UNIFIED IDEOGRAPH-591A
U+591C	夜	CJK UNIFIED IDEOGRAPH-591C
U+5922	夢	CJK UNIFIED IDEOGRAPH-5922
U+5927	大	CJK UNIFIED IDEOGRAPH-5927
U+5929	天	CJK UNIFIED IDEOGRAPH-5929
U+592A	太	CJK UNIFIED IDEOGRAPH-592A
U+592B	夫	CJK UNIFIED IDEOGRAPH-592B
U+592E	央	CJK UNIFIED IDEOGRAPH-592E
U+5931	失	CJK UNIFIED IDEOGRAPH-5931
U+5947	奇	CJK UNIFIED IDEOGRAPH-5947
U+5949	奉	CJK UNIFIED IDEOGRAPH-5949
U+594F	奏	CJK UNIFIED IDEOGRAPH-594F
U+5951	契	CJK UNIFIED IDEOGRAPH-5951
U+5954	奔	CJK UNIFIED IDEOGRAPH-5954
U+5965	奥	CJK UNIFIED IDEOGRAPH-5965
U+5968	奨	CJK UNIFIED IDEOGRAPH-5968
U+596A	奪	CJK UNIFIED IDEOGRAPH-596A
U+596E	奮	CJK UNIFIED IDEOGRAPH-596E
U+5973	女	CJK UNIFIED IDEOGRAPH-5973
U+5974	奴	CJK UNIFIED IDEOGRAPH-5974
U+597D	好	CJK UNIFIED IDEOGRAPH-597D
U+5982	如	CJK UNIFIED IDEOGRAPH-5982
U+5983	妃	CJK UNIFIED IDEOGRAPH-5983
U+5996	妖	CJK UNIFIED IDEOGRAPH-5996
U+5999	妙	CJK UNIFIED IDEOGRAPH-5999
U+59A5	妥	CJK UNIFIED IDEOGRAPH-59A5
U+59AC	妬	CJK UNIFIED IDEOGRAPH-59AC
U+59B9	妹	CJK UNIFIED IDEOGRAPH-59B9
U+59BB	妻	CJK UNIFIED IDEOGRAPH-59BB
U+59C9	姉	CJK UNIFIED IDEOGRAPH-59C9
U+59CB	始	CJK UNIFIED IDEOGRAPH-59CB
U+59EB	姫	CJK UNIFIED IDEOGRAPH-59EB
U+59FF	姿	CJK UNIFIED IDEOGRAPH-59FF
U+5A01	威	CJK UNIFIED IDEOGRAPH-5A01
U+5A18	娘	CJK UNIFIED IDEOGRAPH-5A18
U+5A46	婆	CJK UNIFIED IDEOGRAPH-5A46
U+5A5A	婚	CJK UNIFIED IDEOGRAPH-5A5A
U+5A66	婦	CJK UNIFIED IDEOGRAPH-5A66
U+5A9A	媚	CJK UNIFIED IDEOGRAPH-5A9A
U+5AC1	嫁	CJK UNIFIED IDEOGRAPH-5AC1
U+5AC9	嫉	CJK UNIFIED IDEOGRAPH-5AC9
U+5ACC	嫌	CJK UNIFIED IDEOGRAPH-5ACC
U+5B09	嬉	CJK UNIFIED IDEOGRAPH-5B09
U+5B22	嬢	CJK UNIFIED IDEOGRAPH-5B22
U+5B50	子	CJK UNIFIED IDEOGRAPH-5B50
U+5B57	字	CJK UNIFIED IDEOGRAPH-5B57
U+5B58	存	CJK UNIFIED IDEOGRAPH-5B58
U+5B5D	孝	CJK UNIFIED IDEOGRAPH-5B5D
U+5B63	季	CJK UNIFIED IDEOGRAPH-5B63
U+5B64	孤	CJK UNIFIED IDEOGRAPH-5B64
U+5B66	学	CJK UNIFIED IDEOGRAPH-5B66
U+5B6B	孫	CJK UNIFIED IDEOGRAPH-5B6B
U+5B88	守	CJK UNIFIED IDEOGRAPH-5B88
U+5B89	安	CJK UNIFIED IDEOGRAPH-5B89
U+5B8C	完	CJK UNIFIED IDEOGRAPH-5B8C
U+5B98	官	CJK UNIFIED IDEOGRAPH-5B98
U+5B9A	定	CJK UNIFIED IDEOGRAPH-5B9A
U+5B9D	宝	CJK UNIFIED IDEOGRAPH-5B9D
U+5B9F	実	CJK UNIFIED IDEOGRAPH-5B9F
U+5BA2	客	CJK UNIFIED IDEOGRAPH-5BA2
U+5BA3	宣	CJK UNIFIED IDEOGRAPH-5BA3
U+5BA4	室	CJK UNIFIED IDEOGRAPH-5BA4
U+5BAE	宮	CJK UNIFIED IDEOGRAPH-5BAE
U+5BB3	害	CJK UNIFIED IDEOGRAPH-5BB3
U+5BB4	宴	CJK UNIFIED IDEOGRAPH-5BB4
U+5BB6	家	CJK UNIFIED IDEOGRAPH-5BB6
U+5BB9	容	CJK UNIFIED IDEOGRAPH-5BB9
U+5BBF	宿	CJK UNIFIED IDEOGRAPH-5BBF
U+5BC2	寂	CJK UNIFIED IDEOGRAPH-5BC2
U+5BC4	寄	CJK UNIFIED IDEOGRAPH-5BC4
U+5BC6	密	CJK UNIFIED IDEOGRAPH-5BC6
U+5BCC	富	CJK UNIFIED IDEOGRAPH-5BCC
U+5BD2	寒	CJK UNIFIED IDEOGRAPH-5BD2
U+5BDD	寝	CJK UNIFIED IDEOGRAPH-5BDD
U+5BDF	察	CJK UNIFIED IDEOGRAPH-5BDF
U+5BE7	寧	CJK UNIFIED IDEOGRAPH-5BE7
U+5BE9	審	CJK UNIFIED IDEOGRAPH-5BE9
U+5BF8	寸	CJK UNIFIED IDEOGRAPH-5BF8
U+5BFE	対	CJK UNIFIED IDEOGRAPH-5BFE
U+5C01	封	CJK UNIFIED IDEOGRAPH-5C01
U+5C02	専	CJK UNIFIED IDEOGRAPH-5C02
U+5C04	射	CJK UNIFIED IDEOGRAPH-5C04
U+5C06	将	CJK UNIFIED IDEOGRAPH-5C06
U+5C0A	尊	CJK UNIFIED IDEOGRAPH-5C0A
U+5C0B	尋	CJK UNIFIED IDEOGRAPH-5C0B
U+5C0E	導	CJK UNIFIED IDEOGRAPH-5C0E
U+5C0F	小	CJK UNIFIED IDEOGRAPH-5C0F
U+5C11	少	CJK UNIFIED IDEOGRAPH-5C11
U+5C16	尖	CJK UNIFIED IDEOGRAPH-5C16
U+5C31	就	CJK UNIFIED IDEOGRAPH-5C31
U+5C3B	尻	CJK UNIFIED IDEOGRAPH-5C3B
U+5C3D	尽	CJK UNIFIED IDEOGRAPH-5C3D
U+5C3E	尾	CJK UNIFIED IDEOGRAPH-5C3E
U+5C40	局	CJK UNIFIED IDEOGRAPH-5C40
U+5C41	屁	CJK UNIFIED IDEOGRAPH-5C41
U+5C45	居	CJK UNIFIED IDEOGRAPH-5C45
U+5C48	屈	CJK UNIFIED IDEOGRAPH-5C48
U+5C4A	届	CJK UNIFIED IDEOGRAPH-5C4A
U+5C4B	屋	CJK UNIFIED IDEOGRAPH-5C4B
U+5C4D	屍	CJK UNIFIED IDEOGRAPH-5C4D
U+5C55	展	CJK UNIFIED IDEOGRAPH-5C55
U+5C5E	属	CJK UNIFIED IDEOGRAPH-5C5E
U+5C64	層	CJK UNIFIED IDEOGRAPH-5C64
U+5C71	山	CJK UNIFIED IDEOGRAPH-5C71
U+5CA9	岩	CJK UNIFIED IDEOGRAPH-5CA9
U+5CB8	岸	CJK UNIFIED IDEOGRAPH-5CB8
U+5CD9	峙	CJK UNIFIED IDEOGRAPH-5CD9
U+5CE0	峠	CJK UNIFIED IDEOGRAPH-5CE0
U+5CF0	峰	CJK UNIFIED IDEOGRAPH-5CF0
U+5CF6	島	CJK UNIFIED IDEOGRAPH-5CF6
U+5D07	崇	CJK UNIFIED IDEOGRAPH-5D07
U+5D16	崖	CJK UNIFIED IDEOGRAPH-5D16
U+5D29	崩	CJK UNIFIED IDEOGRAPH-5D29
U+5D50	嵐	CJK UNIFIED IDEOGRAPH-5D50
U+5DDD	川	CJK UNIFIED IDEOGRAPH-5DDD
U+5DE3	巣	CJK UNIFIED IDEOGRAPH-5DE3
U+5DE5	工	CJK UNIFIED IDEOGRAPH-5DE5
U+5DE6	左	CJK UNIFIED IDEOGRAPH-5DE6
U+5DE7	巧	CJK UNIFIED IDEOGRAPH-5DE7
U+5DE8	巨	CJK UNIFIED IDEOGRAPH-5DE8
U+5DEE	差	CJK UNIFIED IDEOGRAPH-5DEE
U+5DF1	己	CJK UNIFIED IDEOGRAPH-5DF1
U+5DFB	巻	CJK UNIFIED IDEOGRAPH-5DFB
U+5E02	市	CJK UNIFIED IDEOGRAPH-5E02
U+5E03	布	CJK UNIFIED IDEOGRAPH-5E03
U+5E0C	希	CJK UNIFIED IDEOGRAPH-5E0C
U+5E1D	帝	CJK UNIFIED IDEOGRAPH-5E1D
U+5E2B	師	CJK UNIFIED IDEOGRAPH-5E2B
U+5E2D	席	CJK UNIFIED IDEOGRAPH-5E2D
U+5E2F	帯	CJK UNIFIED IDEOGRAPH-5E2F
U+5E30	帰	CJK UNIFIED IDEOGRAPH-5E30
U+5E33	帳	CJK UNIFIED IDEOGRAPH-5E33
U+5E38	常	CJK UNIFIED IDEOGRAPH-5E38
U+5E45	幅	CJK UNIFIED IDEOGRAPH-5E45
U+5E55	幕	CJK UNIFIED IDEOGRAPH-5E55
U+5E72	干	CJK UNIFIED IDEOGRAPH-5E72
U+5E73	平	CJK UNIFIED IDEOGRAPH-5E73
U+5E74	年	CJK UNIFIED IDEOGRAPH-5E74
U+5E78	幸	CJK UNIFIED IDEOGRAPH-5E78
U+5E7B	幻	CJK UNIFIED IDEOGRAPH-5E7B
U+5E7C	幼	CJK UNIFIED IDEOGRAPH-5E7C
U+5E7D	幽	CJK UNIFIED IDEOGRAPH-5E7D
U+5E7E	幾	CJK UNIFIED IDEOGRAPH-5E7E
U+5E83	広	CJK UNIFIED IDEOGRAPH-5E83
U+5E8A	床	CJK UNIFIED IDEOGRAPH-5E8A
U+5E8F	序	CJK UNIFIED IDEOGRAPH-5E8F
U+5E95	底	CJK UNIFIED IDEOGRAPH-5E95
U+5E97	店	CJK UNIFIED IDEOGRAPH-5E97
U+5EA6	度	CJK UNIFIED IDEOGRAPH-5EA6
U+5EA7	座	CJK UNIFIED IDEOGRAPH-5EA7
U+5EAB	庫	CJK UNIFIED IDEOGRAPH-5EAB
U+5EAD	庭	CJK UNIFIED IDEOGRAPH-5EAD
U+5EB6	庶	CJK UNIFIED IDEOGRAPH-5EB6
U+5EB7	康	CJK UNIFIED IDEOGRAPH-5EB7
U+5EC3	廃	CJK UNIFIED IDEOGRAPH-5EC3
U+5ECA	廊	CJK UNIFIED IDEOGRAPH-5ECA
U+5EF6	延	CJK UNIFIED IDEOGRAPH-5EF6
U+5EF7	廷	CJK UNIFIED IDEOGRAPH-5EF7
U+5EFA	建	CJK UNIFIED IDEOGRAPH-5EFA
U+5F01	弁	CJK UNIFIED IDEOGRAPH-5F01
U+5F0F	式	CJK UNIFIED IDEOGRAPH-5F0F
U+5F13	弓	CJK UNIFIED IDEOGRAPH-5F13
U+5F15	引	CJK UNIFIED IDEOGRAPH-5F15
U+5F1F	弟	CJK UNIFIED IDEOGRAPH-5F1F
U+5F26	弦	CJK UNIFIED IDEOGRAPH-5F26
U+5F31	弱	CJK UNIFIED IDEOGRAPH-5F31
U+5F35	張	CJK UNIFIED IDEOGRAPH-5F35
U+5F37	強	CJK UNIFIED IDEOGRAPH-5F37
U+5F3E	弾	CJK UNIFIED IDEOGRAPH-5F3E
U+5F53	当	CJK UNIFIED IDEOGRAPH-5F53
U+5F62	形	CJK UNIFIED IDEOGRAPH-5F62
U+5F69	彩	CJK UNIFIED IDEOGRAPH-5F69
U+5F6B	彫	CJK UNIFIED IDEOGRAPH-5F6B
U+5F71	影	CJK UNIFIED IDEOGRAPH-5F71
U+5F77	彷	CJK UNIFIED IDEOGRAPH-5F77
U+5F79	役	CJK UNIFIED IDEOGRAPH-5F79
U+5F7C	彼	CJK UNIFIED IDEOGRAPH-5F7C
U+5F80	往	CJK UNIFIED IDEOGRAPH-5F80
U+5F85	待	CJK UNIFIED IDEOGRAPH-5F85
U+5F8B	律	CJK UNIFIED IDEOGRAPH-5F8B
U+5F8C	後	CJK UNIFIED IDEOGRAPH-5F8C
U+5F90	徐	CJK UNIFIED IDEOGRAPH-5F90
U+5F92	徒	CJK UNIFIED IDEOGRAPH-5F92
U+5F93	従	CJK UNIFIED IDEOGRAPH-5F93
U+5F97	得	CJK UNIFIED IDEOGRAPH-5F97
U+5FA1	御	CJK UNIFIED IDEOGRAPH-5FA1
U+5FA8	徨	CJK UNIFIED IDEOGRAPH-5FA8
U+5FA9	復	CJK UNIFIED IDEOGRAPH-5FA9
U+5FAE	微	CJK UNIFIED IDEOGRAPH-5FAE
U+5FB3	徳	CJK UNIFIED IDEOGRAPH-5FB3
U+5FB4	徴	CJK UNIFIED IDEOGRAPH-5FB4
U+5FB9	徹	CJK UNIFIED IDEOGRAPH-5FB9
U+5FC3	心	CJK UNIFIED IDEOGRAPH-5FC3
U+5FC5	必	CJK UNIFIED IDEOGRAPH-5FC5
U+5FCC	忌	CJK UNIFIED IDEOGRAPH-5FCC
U+5FCD	忍	CJK UNIFIED IDEOGRAPH-5FCD
U+5FD7	志	CJK UNIFIED IDEOGRAPH-5FD7
U+5FD8	忘	CJK UNIFIED IDEOGRAPH-5FD8
U+5FD9	忙	CJK UNIFIED IDEOGRAPH-5FD9
U+5FDC	応	CJK UNIFIED IDEOGRAPH-5FDC
U+5FE0	忠	CJK UNIFIED IDEOGRAPH-5FE0
U+5FEB	快	CJK UNIFIED IDEOGRAPH-5FEB
U+5FF5	念	CJK UNIFIED IDEOGRAPH-5FF5
U+6012	怒	CJK UNIFIED IDEOGRAPH-6012
U+6016	怖	CJK UNIFIED IDEOGRAPH-6016
U+601D	思	CJK UNIFIED IDEOGRAPH-601D
U+6020	怠	CJK UNIFIED IDEOGRAPH-6020
U+6025	急	CJK UNIFIED IDEOGRAPH-6025
U+6027	性	CJK UNIFIED IDEOGRAPH-6027
U+6028	怨	CJK UNIFIED IDEOGRAPH-6028
U+602A	怪	CJK UNIFIED IDEOGRAPH-602A
U+602F	怯	CJK UNIFIED IDEOGRAPH-602F
U+604B	恋	CJK UNIFIED IDEOGRAPH-604B
U+6050	恐	CJK UNIFIED IDEOGRAPH-6050
U+6065	恥	CJK UNIFIED IDEOGRAPH-6065
U+6068	恨	CJK UNIFIED IDEOGRAPH-6068
U+6069	恩	CJK UNIFIED IDEOGRAPH-6069
U+606F	息	CJK UNIFIED IDEOGRAPH-606F
U+6075	恵	CJK UNIFIED IDEOGRAPH-6075
U+6094	悔	CJK UNIFIED IDEOGRAPH-6094
U+609F	悟	CJK UNIFIED IDEOGRAPH-609F
U+60A0	悠	CJK UNIFIED IDEOGRAPH-60A0
U+60A3	患	CJK UNIFIED IDEOGRAPH-60A3
U+60A9	悩	CJK UNIFIED IDEOGRAPH-60A9
U+60AA	悪	CJK UNIFIED IDEOGRAPH-60AA
U+60B2	悲	CJK UNIFIED IDEOGRAPH-60B2
U+60C5	情	CJK UNIFIED IDEOGRAPH-60C5
U+60D1	惑	CJK UNIFIED IDEOGRAPH-60D1
U+60DC	惜	CJK UNIFIED IDEOGRAPH-60DC
U+60E8	惨	CJK UNIFIED IDEOGRAPH-60E8
U+60F3	想	CJK UNIFIED IDEOGRAPH-60F3
U+60F9	惹	CJK UNIFIED IDEOGRAPH-60F9
U+6101	愁	CJK UNIFIED IDEOGRAPH-6101
U+6109	愉	CJK UNIFIED IDEOGRAPH-6109
U+610F	意	CJK UNIFIED IDEOGRAPH-610F
U+611A	愚	CJK UNIFIED IDEOGRAPH-611A
U+611B	愛	CJK UNIFIED IDEOGRAPH-611B
U+611F	感	CJK UNIFIED IDEOGRAPH-611F
U+6148	慈	CJK UNIFIED IDEOGRAPH-6148
U+614B	態	CJK UNIFIED IDEOGRAPH-614B
U+614C	慌	CJK UNIFIED IDEOGRAPH-614C
U+614E	慎	CJK UNIFIED IDEOGRAPH-614E
U+6155	慕	CJK UNIFIED IDEOGRAPH-6155
U+6162	慢	CJK UNIFIED IDEOGRAPH-6162
U+6163	慣	CJK UNIFIED IDEOGRAPH-6163
U+616E	慮	CJK UNIFIED IDEOGRAPH-616E
U+6170	慰	CJK UNIFIED IDEOGRAPH-6170
U+618E	憎	CJK UNIFIED IDEOGRAPH-618E
U+6190	憐	CJK UNIFIED IDEOGRAPH-6190
U+6191	憑	CJK UNIFIED IDEOGRAPH-6191
U+61A7	憧	CJK UNIFIED IDEOGRAPH-61A7
U+61A9	憩	CJK UNIFIED IDEOGRAPH-61A9
U+61B6	憶	CJK UNIFIED IDEOGRAPH-61B6
U+61D0	懐	CJK UNIFIED IDEOGRAPH-61D0
U+61F8	懸	CJK UNIFIED IDEOGRAPH-61F8
U+6210	成	CJK UNIFIED IDEOGRAPH-6210
U+6211	我	CJK UNIFIED IDEOGRAPH-6211
U+6212	戒	CJK UNIFIED IDEOGRAPH-6212
U+6226	戦	CJK UNIFIED IDEOGRAPH-6226
U+622F	戯	CJK UNIFIED IDEOGRAPH-622F
U+6234	戴	CJK UNIFIED IDEOGRAPH-6234
U+6238	戸	CJK UNIFIED IDEOGRAPH-6238
U+623B	戻	CJK UNIFIED IDEOGRAPH-623B
U+6240	所	CJK UNIFIED IDEOGRAPH-6240
U+6249	扉	CJK UNIFIED IDEOGRAPH-6249
U+624B	手	CJK UNIFIED IDEOGRAPH-624B
U+624D	才	CJK UNIFIED IDEOGRAPH-624D
U+6253	打	CJK UNIFIED IDEOGRAPH-6253
U+6255	払	CJK UNIFIED IDEOGRAPH-6255
U+6271	扱	CJK UNIFIED IDEOGRAPH-6271
U+627F	承	CJK UNIFIED IDEOGRAPH-627F
U+6280	技	CJK UNIFIED IDEOGRAPH-6280
U+628A	把	CJK UNIFIED IDEOGRAPH-628A
U+6291	抑	CJK UNIFIED IDEOGRAPH-6291
U+6295	投	CJK UNIFIED IDEOGRAPH-6295
U+6297	抗	CJK UNIFIED IDEOGRAPH-6297
U+6298	折	CJK UNIFIED IDEOGRAPH-6298
U+629C	抜	CJK UNIFIED IDEOGRAPH-629C
U+629E	択	CJK UNIFIED IDEOGRAPH-629E
U+62AB	披	CJK UNIFIED IDEOGRAPH-62AB
U+62B1	抱	CJK UNIFIED IDEOGRAPH-62B1
U+62B5	抵	CJK UNIFIED IDEOGRAPH-62B5
U+62BC	押	CJK UNIFIED IDEOGRAPH-62BC
U+62BD	抽	CJK UNIFIED IDEOGRAPH-62BD
U+62C5	担	CJK UNIFIED IDEOGRAPH-62C5
U+62CD	拍	CJK UNIFIED IDEOGRAPH-62CD
U+62D2	拒	CJK UNIFIED IDEOGRAPH-62D2
U+62D3	拓	CJK UNIFIED IDEOGRAPH-62D3
U+62D7	拗	CJK UNIFIED IDEOGRAPH-62D7
U+62D8	拘	CJK UNIFIED IDEOGRAPH-62D8
U+62DB	招	CJK UNIFIED IDEOGRAPH-62DB
U+62DD	拝	CJK UNIFIED IDEOGRAPH-62DD
U+62E0	拠	CJK UNIFIED IDEOGRAPH-62E0
U+62E1	拡	CJK UNIFIED IDEOGRAPH-62E1
U+62F3	拳	CJK UNIFIED IDEOGRAPH-62F3
U+62F6	拶	CJK UNIFIED IDEOGRAPH-62F6
U+62FE	拾	CJK UNIFIED IDEOGRAPH-62FE
U+6301	持	CJK UNIFIED IDEOGRAPH-6301
U+6307	指	CJK UNIFIED IDEOGRAPH-6307
U+6311	挑	CJK UNIFIED IDEOGRAPH-6311
U+6319	挙	CJK UNIFIED IDEOGRAPH-6319
U+631F	挟	CJK UNIFIED IDEOGRAPH-631F
U+6328	挨	CJK UNIFIED IDEOGRAPH-6328
U+632F	振	CJK UNIFIED IDEOGRAPH-632F
U+6355	捕	CJK UNIFIED IDEOGRAPH-6355
U+635C	捜	CJK UNIFIED IDEOGRAPH-635C
U+6367	捧	CJK UNIFIED IDEOGRAPH-6367
U+6368	捨	CJK UNIFIED IDEOGRAPH-6368
U+6383	掃	CJK UNIFIED IDEOGRAPH-6383
U+6388	授	CJK UNIFIED IDEOGRAPH-6388
U+638C	掌	CJK UNIFIED IDEOGRAPH-638C
U+6398	掘	CJK UNIFIED IDEOGRAPH-6398
U+639B	掛	CJK UNIFIED IDEOGRAPH-639B
U+639F	掟	CJK UNIFIED IDEOGRAPH-639F
U+63A1	採	CJK UNIFIED IDEOGRAPH-63A1
U+63A2	探	CJK UNIFIED IDEOGRAPH-63A2
U+63A5	接	CJK UNIFIED IDEOGRAPH-63A5
U+63A7	控	CJK UNIFIED IDEOGRAPH-63A7
U+63A8	推	CJK UNIFIED IDEOGRAPH-63A8
U+63C3	揃	CJK UNIFIED IDEOGRAPH-63C3
U+63CF	描	CJK UNIFIED IDEOGRAPH-63CF
U+63D0	提	CJK UNIFIED IDEOGRAPH-63D0
U+63DB	換	CJK UNIFIED IDEOGRAPH-63DB
U+63E1	握	CJK UNIFIED IDEOGRAPH-63E1
U+63EE	揮	CJK UNIFIED IDEOGRAPH-63EE
U+63F4	援	CJK UNIFIED IDEOGRAPH-63F4
U+63FA	揺	CJK UNIFIED IDEOGRAPH-63FA
U+640D	損	CJK UNIFIED IDEOGRAPH-640D
U+643A	携	CJK UNIFIED IDEOGRAPH-643A
U+6483	撃	CJK UNIFIED IDEOGRAPH-6483
U+64A4	撤	CJK UNIFIED IDEOGRAPH-64A4
U+64B2	撲	CJK UNIFIED IDEOGRAPH-64B2
U+64CD	操	CJK UNIFIED IDEOGRAPH-64CD
U+652F	支	CJK UNIFIED IDEOGRAPH-652F
U+6539	改	CJK UNIFIED IDEOGRAPH-6539
U+653B	攻	CJK UNIFIED IDEOGRAPH-653B
U+653E	放	CJK UNIFIED IDEOGRAPH-653E
U+653F	政	CJK UNIFIED IDEOGRAPH-653F
U+6545	故	CJK UNIFIED IDEOGRAPH-6545
U+6551	救	CJK UNIFIED IDEOGRAPH-6551
U+6557	敗	CJK UNIFIED IDEOGRAPH-6557
U+6559	教	CJK UNIFIED IDEOGRAPH-6559
U+6562	敢	CJK UNIFIED IDEOGRAPH-6562
U+6563	散	CJK UNIFIED IDEOGRAPH-6563
U+656C	敬	CJK UNIFIED IDEOGRAPH-656C
U+6570	数	CJK UNIFIED IDEOGRAPH-6570
U+6574	整	CJK UNIFIED IDEOGRAPH-6574
U+6575	敵	CJK UNIFIED IDEOGRAPH-6575
U+6577	敷	CJK UNIFIED IDEOGRAPH-6577
U+6587	文	CJK UNIFIED IDEOGRAPH-6587
U+6599	料	CJK UNIFIED IDEOGRAPH-6599
U+65A7	斧	CJK UNIFIED IDEOGRAPH-65A7
U+65AC	斬	CJK UNIFIED IDEOGRAPH-65AC
U+65AD	断	CJK UNIFIED IDEOGRAPH-65AD
U+65B0	新	CJK UNIFIED IDEOGRAPH-65B0
U+65B9	方	CJK UNIFIED IDEOGRAPH-65B9
U+65BD	施	CJK UNIFIED IDEOGRAPH-65BD
U+65C5	旅	CJK UNIFIED IDEOGRAPH-65C5
U+65CB	旋	CJK UNIFIED IDEOGRAPH-65CB
U+65CF	族	CJK UNIFIED IDEOGRAPH-65CF
U+65D7	旗	CJK UNIFIED IDEOGRAPH-65D7
U+65E2	既	CJK UNIFIED IDEOGRAPH-65E2
U+65E5	日	CJK UNIFIED IDEOGRAPH-65E5
U+65E6	旦	CJK UNIFIED IDEOGRAPH-65E6
U+65E7	旧	CJK UNIFIED IDEOGRAPH-65E7
U+65E9	早	CJK UNIFIED IDEOGRAPH-65E9
U+6606	昆	CJK UNIFIED IDEOGRAPH-6606
U+6607	昇	CJK UNIFIED IDEOGRAPH-6607
U+660E	明	CJK UNIFIED IDEOGRAPH-660E
U+6613	易	CJK UNIFIED IDEOGRAPH-6613
U+6614	昔	CJK UNIFIED IDEOGRAPH-6614
U+661F	星	CJK UNIFIED IDEOGRAPH-661F
U+6620	映	CJK UNIFIED IDEOGRAPH-6620
U+6628	昨	CJK UNIFIED IDEOGRAPH-6628
U+662F	是	CJK UNIFIED IDEOGRAPH-662F
U+6642	時	CJK UNIFIED IDEOGRAPH-6642
U+6669	晩	CJK UNIFIED IDEOGRAPH-6669
U+666E	普	CJK UNIFIED IDEOGRAPH-666E
U+666F	景	CJK UNIFIED IDEOGRAPH-666F
U+6674	晴	CJK UNIFIED IDEOGRAPH-6674
U+667A	智	CJK UNIFIED IDEOGRAPH-667A
U+6687	暇	CJK UNIFIED IDEOGRAPH-6687
U+6691	暑	CJK UNIFIED IDEOGRAPH-6691
U+6696	暖	CJK UNIFIED IDEOGRAPH-6696
U+6697	暗	CJK UNIFIED IDEOGRAPH-6697
U+66A6	暦	CJK UNIFIED IDEOGRAPH-66A6
U+66AE	暮	CJK UNIFIED IDEOGRAPH-66AE
U+66B4	暴	CJK UNIFIED IDEOGRAPH-66B4
U+66DC	曜	CJK UNIFIED IDEOGRAPH-66DC
U+66F4	更	CJK UNIFIED IDEOGRAPH-66F4
U+66F8	書	CJK UNIFIED IDEOGRAPH-66F8
U+66FF	替	CJK UNIFIED IDEOGRAPH-66FF
U+6700	最	CJK UNIFIED IDEOGRAPH-6700
U+6708	月	CJK UNIFIED IDEOGRAPH-6708
U+6709	有	CJK UNIFIED IDEOGRAPH-6709
U+670D	服	CJK UNIFIED IDEOGRAPH-670D
U+671B	望	CJK UNIFIED IDEOGRAPH-671B
U+671D	朝	CJK UNIFIED IDEOGRAPH-671D
U+671F	期	CJK UNIFIED IDEOGRAPH-671F
U+6728	木	CJK UNIFIED IDEOGRAPH-6728
U+672A	未	CJK UNIFIED IDEOGRAPH-672A
U+672B	末	CJK UNIFIED IDEOGRAPH-672B
U+672C	本	CJK UNIFIED IDEOGRAPH-672C
U+672D	札	CJK UNIFIED IDEOGRAPH-672D
U+673D	朽	CJK UNIFIED IDEOGRAPH-673D
U+6751	村	CJK UNIFIED IDEOGRAPH-6751
U+6756	杖	CJK UNIFIED IDEOGRAPH-6756
U+675F	束	CJK UNIFIED IDEOGRAPH-675F
U+6761	条	CJK UNIFIED IDEOGRAPH-6761
U+6765	来	CJK UNIFIED IDEOGRAPH-6765
U+676F	杯	CJK UNIFIED IDEOGRAPH-676F
U+6771	東	CJK UNIFIED IDEOGRAPH-6771
U+677F	板	CJK UNIFIED IDEOGRAPH-677F
U+6790	析	CJK UNIFIED IDEOGRAPH-6790
U+6795	枕	CJK UNIFIED IDEOGRAPH-6795
U+679A	枚	CJK UNIFIED IDEOGRAPH-679A
U+679C	果	CJK UNIFIED IDEOGRAPH-679C
